atomicgo.dev/cursor,https://github.com/atomicgo/cursor/blob/v0.1.1/LICENSE,MIT
atomicgo.dev/keyboard,https://github.com/atomicgo/keyboard/blob/v0.2.8/LICENSE,MIT
code.gitea.io/sdk/gitea,https://gitea.com/gitea/go-sdk/src/tag/gitea/v0.15.1/gitea/LICENSE,MIT
github.com/Masterminds/semver,https://github.com/Masterminds/semver/blob/v1.5.0/LICENSE.txt,MIT
github.com/Masterminds/semver/v3,https://github.com/Masterminds/semver/blob/v3.1.1/LICENSE.txt,MIT
github.com/ProtonMail/go-crypto,https://github.com/ProtonMail/go-crypto/blob/c6815a8c17ad/LICENSE,BSD-3-Clause
github.com/antlr/antlr4/runtime/Go/antlr,https://github.com/antlr/antlr4/blob/runtime/Go/antlr/v1.4.10/runtime/Go/antlr/LICENSE,BSD-3-Clause
github.com/apigear-io/cli,https://github.com/apigear-io/cli/blob/HEAD/LICENSE,Apache-2.0
github.com/cloudflare/circl,https://github.com/cloudflare/circl/blob/v1.2.0/LICENSE,BSD-3-Clause
github.com/containerd/console,https://github.com/containerd/console/blob/v1.0.3/LICENSE,Apache-2.0
github.com/cpuguy83/go-md2man/v2/md2man,https://github.com/cpuguy83/go-md2man/blob/v2.0.2/LICENSE.md,MIT
github.com/creativeprojects/go-selfupdate,https://github.com/creativeprojects/go-selfupdate/blob/v0.6.1/LICENSE,MIT
github.com/creativeprojects/go-selfupdate/update,https://github.com/creativeprojects/go-selfupdate/blob/v0.6.1/update/LICENSE,Apache-2.0
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew/blob/v1.1.1/LICENSE,ISC
github.com/dlclark/regexp2,https://github.com/dlclark/regexp2/blob/v1.7.0/LICENSE,MIT
github.com/dop251/goja,https://github.com/dop251/goja/blob/cb5011b539fe/LICENSE,MIT
github.com/dop251/goja/ftoa/internal/fast,https://github.com/dop251/goja/blob/cb5011b539fe/ftoa/internal/fast/LICENSE_V8,BSD-3-Clause
github.com/dop251/goja_nodejs,https://github.com/dop251/goja_nodejs/blob/3aa5028e57f6/LICENSE,MIT
github.com/emirpasic/gods,https://github.com/emirpasic/gods/blob/v1.18.1/LICENSE,BSD-2-Clause
github.com/ettle/strcase,https://github.com/ettle/strcase/blob/v0.1.1/LICENSE,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.6.0/LICENSE,BSD-3-Clause
github.com/gertd/go-pluralize,https://github.com/gertd/go-pluralize/blob/v0.2.1/LICENSE,MIT
github.com/getsentry/sentry-go,https://github.com/getsentry/sentry-go/blob/v0.14.0/LICENSE,BSD-2-Clause
github.com/gitsight/go-vcsurl,https://github.com/gitsight/go-vcsurl/blob/v1.0.0/LICENSE,BSD-2-Clause
github.com/go-chi/chi/v5,https://github.com/go-chi/chi/blob/v5.0.7/LICENSE,MIT
github.com/go-chi/httplog,https://github.com/go-chi/httplog/blob/v0.2.5/LICENSE,MIT
github.com/go-git/gcfg,https://github.com/go-git/gcfg/blob/v1.5.0/LICENSE,BSD-3-Clause
github.com/go-git/go-billy/v5,https://github.com/go-git/go-billy/blob/v5.3.1/LICENSE,Apache-2.0
github.com/go-git/go-git/v5,https://github.com/go-git/go-git/blob/v5.4.2/LICENSE,Apache-2.0
github.com/go-sourcemap/sourcemap,https://github.com/go-sourcemap/sourcemap/blob/v2.1.3/LICENSE,BSD-2-Clause
github.com/gocarina/gocsv,https://github.com/gocarina/gocsv/blob/ad3251f9fa25/LICENSE,MIT
github.com/google/go-github/v30/github,https://github.com/google/go-github/blob/v30.1.0/LICENSE,BSD-3-Clause
github.com/google/go-querystring/query,https://github.com/google/go-querystring/blob/v1.1.0/LICENSE,BSD-3-Clause
github.com/google/uuid,https://github.com/google/uuid/blob/v1.3.0/LICENSE,BSD-3-Clause
github.com/gookit/color,https://github.com/gookit/color/blob/v1.5.2/LICENSE,MIT
github.com/gorilla/websocket,https://github.com/gorilla/websocket/blob/v1.5.0/LICENSE,BSD-2-Clause
github.com/hashicorp/go-version,https://github.com/hashicorp/go-version/blob/v1.6.0/LICENSE,MPL-2.0
